Date,OUTPUT,
22/03/2022 11:21:59,"<li>New Jersey files brief opposing New York’s attempt to block Waterfront Commission exit (<a href=""https://newjerseyglobe.com/state/new-jersey-files-brief-opposing-new-yorks-attempt-to-block-waterfront-commission-exit/"">NJ Globe</a>)",
22/03/2022 11:25:25,"<li>The public just got its first crack at Murphy’s proposed $48.9B N.J. budget. Not everyone is happy. (<a href=""https://www.nj.com/politics/2022/03/the-public-just-got-its-first-crack-at-murphys-proposed-489b-nj-budget-not-everyone-is-happy.html"">NJ.com</a>)",
2022-03-22 11:22:38,"<li>Here’s what senators said on the first day of the U.S. Supreme Court hearings (<a href=""https://newjerseymonitor.com/2022/03/21/heres-what-senators-said-on-the-first-day-of-the-u-s-supreme-court-hearings/"">NJ Monitor</a>)",
,-,
23/03/2022 10:02:22,"<li>Another plea expected in bizarre murder mystery tied to N.J. political operative (<a href=""https://www.nj.com/politics/2022/03/another-plea-expected-in-bizarre-murder-mystery-tied-to-nj-political-operative.html"">NJ.com</a>)",
23/03/2022 10:06:33,"<li>Five-alarm blaze at Pepsi facility in Piscataway (<a href=""https://www.northjersey.com/videos/news/new-jersey/2022/03/23/five-alarm-blaze-pepsi-facility/7137436001/"">NorthJersey.com</a>)",
23/03/2022 10:05:25,"<li>Feds announce another pot of money that could be used for Gateway Tunnel (<a href=""https://www.nj.com/politics/2022/03/feds-announce-another-pot-of-money-that-could-be-used-for-gateway-tunnel.html"">NJ.com</a>)",
23/03/2022 10:08:11,"<li>A new Carteret: Approval to build ferry terminal is key to waterfront transformation (<a href=""https://www.roi-nj.com/2022/03/23/industry/a-new-carteret-approval-to-build-ferry-terminal-is-key-to-waterfront-transformation/"">ROI-NJ</a>)",
,-,
24/03/2022 12:22:41,"<li>Advocates warn lawmakers of staffing crises across multiple sectors (<a href=""https://newjerseymonitor.com/2022/03/24/advocates-warn-lawmakers-of-staffing-crises-across-multiple-sectors/"">NJ Monitor</a>)",
24/03/2022 12:16:08,"<li>New Jersey fines BetMGM $25K for bets on basketball games in state (<a href=""https://pressofatlanticcity.com/news/casinos_tourism/nj-fines-betmgm-25k-for-bets-on-basketball-games-in-state/article_a6fc1cf1-7f7a-5956-9f3b-e933f62f0d93.html"">Press of Atlantic City</a>)",
24/03/2022 12:16:32,"<li>For Montclair State, agreement with Bloomfield is about changing dynamic of higher ed, not bailing out school (<a href=""https://www.roi-nj.com/2022/03/24/opinion/editors-desk/for-montclair-state-agreement-with-bloomfield-is-about-changing-dynamic-of-higher-ed-not-bailing-out-school/"">ROI-NJ</a>)",
24/03/2022 12:21:40,"<li>In U.S. Supreme Court, New Jersey beats New York (<a href=""https://newjerseyglobe.com/judiciary/in-u-s-supreme-court-new-jersey-beats-new-york/"">NJ Globe</a>)",
,-,
30/03/2022 11:56:25,"<li>N.J. town sues woman, 82, for ‘voluminous’ and ‘burdensome’ public records requests (<a href=""https://www.nj.com/news/2022/03/nj-town-sues-woman-82-for-voluminous-and-burdensome-public-records-requests.html"">NJ.com</a>)",
30/03/2022 11:54:25,"<li>Bill would require state documents to be translated into 15 languages (<a href=""https://newjerseymonitor.com/2022/03/30/bill-would-require-state-documents-to-be-translated-into-15-languages/"">NJ Monitor</a>)",
30/03/2022 11:54:03,"<li>Police and Fire pension fund chief investment office resigns after ethics probe (<a href=""https://newjerseyglobe.com/state-government/police-and-fire-pension-fund-chief-investment-office-resigns-after-ethics-probe/"">NJ Globe</a>)",
30/03/2022 11:59:08,"<li>N.J. legal weed market delay is ‘totally unacceptable,’ and top lawmaker demands answers (<a href=""https://www.nj.com/marijuana/2022/03/top-democrat-orders-probe-into-unacceptable-delay-in-launching-nj-legal-weed-market.html"">NJ.com</a>)",
,-,
04/04/2022 11:48:41,"<li>Appeals court reinstates bribery indictment of ex-assemblyman (<a href=""https://newjerseymonitor.com/2022/04/04/appeals-court-reinstates-bribery-indictment-of-ex-assemblyman/"">NJ Monitor</a>)",
04/04/2022 11:48:10,"<li>1 in 5 N.J. drivers are distracted while driving (<a href=""https://whyy.org/articles/study-finds-1-in-5-n-j-drivers-distracted-ahead-of-new-awareness-campaign/"">WHYY</a>)",
04/04/2022 11:49:52,"<li>Bias incidents in New Jersey at 27-year high (<a href=""https://www.njspotlightnews.org/2022/04/nj-bias-incidents-rise-third-year-better-reporting-system-anti-black-lives-matter-racialized-rhetoric/"">NJ Spotlight</a>)",
04/04/2022 11:57:22,"<li>Record-low number of COVID patients in U.S. hospitals (<a href=""https://www.nj.com/coronavirus/2022/04/record-low-number-of-covid-patients-in-us-hospitals.html"">NJ.com</a>)",
,-,
18/04/2022 13:33:11,"<li>Today is Tax Day. For last-minute filers, an extension may be better than rushing a return. (<a href=""https://pressofatlanticcity.com/news/national/today-is-tax-day-for-last-minute-filers-an-extension-may-be-better-than-rushing/article_8882dfa7-1429-5c6d-b83b-71dc7daaadcd.html"">Press of Atlantic City</a>)",
18/04/2022 13:32:59,"<li>N.J. Herald ends Monday print newspapers (<a href=""https://newjerseyglobe.com/media/n-j-herald-ends-monday-print-newspapers/"">NJ Globe</a>)",
18/04/2022 13:32:25,"<li>Some N.J. schools under siege from those trying to get books on race, LGBTQ+ pulled from shelves (<a href=""https://www.nj.com/news/2022/04/some-nj-schools-under-siege-from-those-trying-to-get-books-on-race-lgbto-pulled-from-shelves.html"">NJ.com</a>)",
18/04/2022 13:34:06,"<li>United Way Northern NJ affordable childcare gets Congressional boost (<a href=""https://www.northjersey.com/story/news/2022/04/14/united-way-northern-nj-united-in-care-expansion-congress-funds/7319331001/"">NorthJersey.com</a>)",
,-,
19/04/2022 10:28:01,"<li>Amazon warehouse in New Jersey becomes next to get union vote (<a href=""https://www.washingtonpost.com/technology/2022/04/18/amazon-union-vote-new-jersey/"">Washington Post</a>)",
19/04/2022 10:30:23,"<li>N.J. misses 4/20 party by a day with recreational weed sales debut. That’s by design. (<a href=""https://www.nj.com/entertainment/2022/04/nj-misses-420-party-by-a-day-with-recreational-weed-sales-debut-thats-by-design.html"">NJ.com</a>)",
19/04/2022 10:30:15,"<li>NJ Transit mask mandate to end after federal judge ruling (<a href=""https://www.northjersey.com/story/news/transportation/2022/04/19/nj-transit-mask-mandate-end-after-federal-judge-ruling/7364880001/"">NorthJersey.com</a>)",
19/04/2022 10:30:15,"<li>Probe at Colonia High School Looks At Possible Link Between School and Brain Tumors (<a href=""https://www.nbcnewyork.com/news/local/nj-hs-looks-into-mysterious-cancer-cluster-after-100-diagnosed-with-brain-tumors/3650729/"">NBC New York</a>)",
,-,
20/04/2022 12:29:40,"<li>Where to buy recreational weed in South Jersey on Thursday (<a href=""https://www.inquirer.com/business/recreational-weed-sales-start-thursday-new-jersey-20220419.html"">The Inquirer</a>)",
20/04/2022 12:28:35,"<li>New Jersey diocese agrees to pay $87.5m settlement to 300 alleged abuse victims (<a href=""https://www.theguardian.com/us-news/2022/apr/19/new-jersey-catholic-diocese-alleged-sexual-abuse-settlement"">The Guardian</a>)",
20/04/2022 12:36:24,"<li>NJ homeless resources: ID process, vital services complications (<a href=""https://www.northjersey.com/story/news/2022/04/20/nj-homeless-resources-id-process-vital-services/6878211001/"">NorthJersey.com</a>)",
20/04/2022 12:35:50,"<li>Why environmental coalition says NJ is falling short of clean-energy goals (<a href=""https://www.njspotlightnews.org/video/why-environmental-coalition-says-nj-is-falling-short-of-clean-energy-goals/"">NJ Spotlight</a>)",
,-,
21/04/2022 11:47:32,"<li>GE Appliances refrigerators from Best Buy, Home Depot, Lowe’s are being recalled (<a href=""https://www.nj.com/business/2022/04/ge-refrigerators-from-best-buy-home-depot-lowes-are-being-recalled.html"">NJ.com</a>)",
21/04/2022 11:46:25,"<li>Stockton finds 56% of New Jerseyans O.K. with dispensaries in their towns (<a href=""https://newjerseyglobe.com/polling/stockton-finds-56-of-new-jerseyans-o-k-with-dispensaries-in-their-towns/"">NJ Globe</a>)",
21/04/2022 11:44:40,"<li>What you need to know now adult-use pot is legal in NJ (<a href=""https://www.njspotlightnews.org/2022/04/april-21-recreational-use-marijuana-legal-cannabis-regulatory-commission-medical-marijuana-facts-outstanding-questions/"">NJ Spotlight</a>)",
21/04/2022 11:44:21,"<li>Jersey Shore tourism jobs may be rebounding after long labor shortage (<a href=""https://www.app.com/story/money/business/main-street/2022/04/21/new-jersey-shore-summer-jobs-tourism-labor-shortage/7318264001/"">Asbury Park Press</a>)",
,-,
21/04/2022 11:58:33,"<li>Activists, Black-owned weed businesses say N.J. can do more to ensure social equit (<a href=""https://whyy.org/articles/new-jersey-black-owned-recreational-marijuana-social-equity/"">WHYY</a>)",
22/04/2022 14:34:48,"<li>Inside the efforts to unionize at New Jersey Starbucks locations (<a href=""https://njindy.com/2022/04/21/inside-the-efforts-to-unionize-at-new-jersey-starbucks-locations/"">NJ Indy</a>)",
25/04/2022 09:34:53,"<li>NJ hotels to take $897M hit from pre-COVID travel, study says (<a href=""https://www.northjersey.com/story/news/2022/04/22/nj-hotels-pre-covid-travel-study-says/7399319001/"">NorthJersey.com</a>)",
25/04/2022 09:33:53,"<li>For nurses, pandemic leaves legacy of anxiety, stress (<a href=""https://www.njspotlightnews.org/2022/04/covid-19-mental-health-stressors-anxiety-racism-depression-care-programs-nurses/"">NJ Spotlight</a>)",
,-,
26/04/2022 10:34:27,"<li>State plans to put $2.4B into health care (<a href=""https://www.njspotlightnews.org/2022/04/nj-health-department-investing-2-4-billion-public-health-hospitals-long-term-care-facilities-mental-health-addiction-programs-republican-pandemic-politics/"">NJ Spotlight</a>)",
26/04/2022 10:34:18,"<li>Nine rare cancers tied to burn pit exposure added to VA benefits list (<a href=""https://newjerseymonitor.com/2022/04/26/nine-rare-cancers-tied-to-burn-pit-exposure-added-to-va-benefits-list/"">NJ Monitor</a>)",
26/04/2022 10:35:55,"<li>Thousands who drank water tainted by ‘forever chemicals’ can join class action suit against N.J. company (<a href=""https://www.nj.com/middlesex/2022/04/thousands-who-drank-water-tainted-by-forever-chemicals-can-join-class-action-suit-against-nj-company.html"">NJ.com</a>)",
26/04/2022 10:35:14,"<li>Bergen sheriff appoints nephew to investigator post, then says he'll create nepotism rule (<a href=""https://www.northjersey.com/story/news/bergen/2022/04/26/bergen-county-nj-sheriff-anthony-cureton-hires-nephew-nepotism/7398169001/"">NorthJersey.com</a>)",
,-,
27/04/2022 10:39:47,"<li>Critics assail plans for a new power plant in Newark (<a href=""https://newjerseymonitor.com/2022/04/27/critics-assail-plans-for-a-new-power-plant-in-newark/"">NJ Monitor</a>)",
27/04/2022 10:40:15,"<li>Calls for fed funds to upgrade NJ's water infrastructure (<a href=""https://www.njspotlightnews.org/2022/04/1-2b-federal-funds-sought-lead-pipes-forever-chemicals-sewer-overflows-storms-climate-change-american-rescue-plan/"">NJ Spotlight</a>)",
27/04/2022 10:40:01,"<li>You can’t make this up, even in New Jersey (<a href=""https://newjerseyglobe.com/judiciary/you-cant-make-this-up-even-in-new-jersey/"">NJ Globe</a>)",
2022-04-27 10:41:55,"<li>Reports of antisemitism in N.J. reached record levels in 2021, group says (<a href=""https://newjerseymonitor.com/briefs/antisemitism-in-nj-reached-record-levels-in-2021-report-says/"">NJ Monitor</a>)",
2022-04-27 10:41:55,"<li>Reports of antisemitism in N.J. reached record levels in 2021, group says (<a href=""https://newjerseymonitor.com/briefs/antisemitism-in-nj-reached-record-levels-in-2021-report-says/"">NJ Monitor</a>)",
,-,
28/04/2022 15:58:42,"<li>Princeton University investigating Sam Wang for research misconduct, toxic workplace issues (<a href=""https://newjerseyglobe.com/redistricing/princeton-university-investigating-sam-wang-for-research-misconduct-toxic-workplace-issues/"">NJ Globe</a>)",
28/04/2022 15:58:32,"<li>South Jersey counties rank among state's unhealthiest, study suggests (<a href=""https://pressofatlanticcity.com/news/local/south-jersey-counties-rank-among-states-unhealthiest-study-suggests/article_af9e494a-c70e-11ec-9e82-4b04d96de84b.html"">Press of Atlantic City</a>)",
28/04/2022 16:03:08,"<li>Dead end: A New Jersey political murder mystery (<a href=""https://podcasts.google.com/feed/aHR0cDovL2ZlZWRwcm94eS5nb29nbGUuY29tL2RlYWQtZW5kLXBvZGNhc3Q?ep=14"">WNYC</a>)",
28/04/2022 16:01:25,"<li>Another investigation launched into the over 200 COVID deaths in NJ veterans homes (<a href=""https://www.northjersey.com/story/news/coronavirus/2022/04/28/covid-nj-veterans-homes-deaths-investigation-paramus-menlo-park-vineland/9568887002/"">NorthJersey.com</a>)",
,-,
02/05/2022 10:29:44,"<li>Some advocates say tensions are rising on gay rights, visibility (<a href=""https://pressofatlanticcity.com/news/local/some-advocates-say-tensions-are-rising-on-gay-rights-visibility/article_bbfa82ce-c7f1-11ec-94cb-cb861dda167f.html"">Press of Atlantic City</a>)",
02/05/2022 10:28:58,"<li>New Jersey's nation-leading bag ban set to take effect this week (<a href=""https://gothamist.com/news/new-jerseys-nation-leading-bag-ban-set-to-take-effect-this-week"">Gothamist</a>)",
02/05/2022 10:31:42,"<li>Asbury Park Press wins NJPA public service, top awards for journalism (<a href=""https://www.app.com/story/news/2022/04/29/asbury-park-press-njpa-public-service/9583102002/"">Asbury Park Press</a>)",
02/05/2022 10:30:54,"<li>Social equity still in works for legal-weed market (<a href=""https://www.njspotlightnews.org/2022/05/legal-cannabis-dispensaries-recreational-pot-white-owners-black-indigenous-brown-social-equity/"">NJ Spotlight</a>)",
,-,
03/05/2022 15:25:18,"<li>Phil Murphy: NJ 'Will Not Go Backwards on Reproductive Rights' (<a href=""https://njmonthly.com/articles/news/phil-murphy-nj-will-not-go-backwards-on-reproductive-rights/"">New Jersey Monthly</a>)",
03/05/2022 15:35:40,"<li>NJ women cops percentage lagging behind the nation (<a href=""https://www.app.com/story/news/2022/05/03/nj-women-cops-percentage-lagging-behind-nation/9620459002/"">Asbury Park Press</a>)",
03/05/2022 15:35:22,"<li>Cops can't contradict or diminish Miranda warnings to coax suspects to talk, court rules - New Jersey Monitor (<a href=""https://newjerseymonitor.com/2022/05/02/cops-cant-contradict-or-diminish-miranda-warnings-to-coax-suspects-to-talk-court-rules/"">NJ Monitor</a>)",
03/05/2022 15:36:43,"<li>N.J. unaffiliated voters continued registration rise in April (<a href=""https://newjerseyglobe.com/voters/n-j-unaffiliateds-continued-registration-rise-in-april/"">NJ Globe</a>)",
,-,
04/05/2022 09:58:06,"<li>Parents demand remote school option as fears over brain tumor cluster mount (<a href=""https://www.nj.com/news/2022/05/parents-demand-remote-school-option-as-fears-over-brain-tumor-cluster-mount.html"">NJ.com</a>)",
04/05/2022 09:57:52,"<li>NJ law assures abortion rights. Access not so easy (<a href=""https://www.njspotlightnews.org/2022/05/justice-samuel-alito-draft-roe-v-wade-opinion-strike-down-nj-law-keeps-right-to-abortion-but-access-not-easy/"">NJ Spotlight</a>)",
04/05/2022 10:00:56,"<li>New Jersey plastic bag ban: Enforcement, exemptions in effect (<a href=""https://whyy.org/articles/new-jersey-plastic-bag-ban-styrofoam-enforcement-exemptions-2022/"">WHYY</a>)",
04/05/2022 09:58:36,"<li>Union movement revved up by Starbucks, cannabis workers (<a href=""https://www.njspotlightnews.org/video/union-movement-revved-up-by-starbucks-cannabis-workers/"">NJ Spotlight</a>)",
,-,
04/05/2022 10:33:16,"<li>New Rutgers housing report finds alarming increase in corporations buying Newark homes (<a href=""https://www.tapinto.net/towns/newark/sections/government/articles/new-rutgers-housing-report-finds-alarming-increase-in-corporations-buying-newark-homes"">TAPinto</a>)",
04/05/2022 16:44:41,"<li>Kolluri will head Gateway tunnel project (<a href=""https://newjerseyglobe.com/governor/kolluri-will-head-gateway-tunnel-project/"">NJ Globe</a>)",
05/05/2022 17:35:44,"<li>Abuse-clouded prison called 'rape club' gets attention, but will things change? (<a href=""https://pressofatlanticcity.com/news/national/abuse-clouded-prison-called-rape-club-gets-attention-but-will-things-change/article_c9ee5ed9-d4d4-58ae-bf20-f12538c620a1.html"">Press of Atlantic City</a>)",
05/05/2022 17:33:18,"<li>As a new deadline approaches, TSA warns fliers to get Real ID - nj.com (<a href=""https://www.nj.com/news/2022/05/as-a-new-deadline-approaches-tsa-warns-fliers-to-get-real-id.html"">NJ.com</a>)",
,-,
09/05/2022 11:55:01,"<li>Baraka headed to court to challenge changes in Newark polling locations (<a href=""https://newjerseyglobe.com/local/baraka-headed-to-court-to-challenge-changes-in-newark-polling-locations/"">NJ Globe</a>)",
09/05/2022 11:54:16,"<li>Gas prices soar to record highs in N.J. (<a href=""https://www.nj.com/news/2022/05/gas-prices-soar-to-record-highs-in-nj.html"">NJ.com</a>)",
09/05/2022 11:51:57,"<li>NJ MVC Will Be Adding More REAL ID Appointments, As Deadline Looms (<a href=""https://patch.com/new-jersey/woodbridge/deadline-get-real-id-now-may-3-2023"">Patch</a>)",
09/05/2022 11:56:15,"<li>'Menstrual equity' bills would expand access to menstrual products, care (<a href=""https://newjerseymonitor.com/2022/05/09/menstrual-equity-bills-would-expand-access-to-menstrual-products-care/"">NJ Monitor</a>)",
,-,
10/05/2022 10:18:45,"<li>Advocates urge NJ to ban menthol cigarettes (<a href=""https://www.njspotlightnews.org/video/advocates-urge-nj-to-ban-menthol-cigarettes/"">NJ Spotlight</a>)",
10/05/2022 10:20:33,"<li>Bills on school transparency, menstrual products spark outcry during N.J. senate hearing (<a href=""https://newjerseymonitor.com/2022/05/10/bills-on-school-transparency-menstrual-products-spark-outcry-during-n-j-senate-hearing/"">NJ Monitor</a>)",
10/05/2022 10:20:23,"<li>The polls are open in New Jersey (<a href=""https://newjerseyglobe.com/local/the-polls-are-open-in-new-jersey-4/"">NJ Globe</a>)",
10/05/2022 10:19:36,"<li>Rutgers-Newark professor wins Pulitzer Prize in criticism (<a href=""https://www.nj.com/education/2022/05/rutgers-newark-professor-wins-pulitzer-prize-in-criticism.html"">NJ.com</a>)",
,-,
11/05/2022 18:13:17,"<li>Murphy announces new push to expand abortion access as N.J. gears up as a sanctuary state (<a href=""https://www.nj.com/politics/2022/05/murphy-announces-new-push-to-expand-abortion-access-as-nj-gears-up-as-a-sanctuary-state.html"">NJ.com</a>)",
11/05/2022 18:12:11,"<li>Proposed constitutional amendment takes aim at school redistricting (<a href=""https://newjerseymonitor.com/briefs/proposed-constitutional-amendment-takes-aim-at-school-redistricting/"">NJ Monitor</a>)",
11/05/2022 18:12:00,"<li>Coalition of N.J. gas stations to temporarily lower prices in support of self-serve gas (<a href=""https://newjerseyglobe.com/legislature/coalition-of-n-j-gas-stations-to-temporarily-lower-prices-in-support-of-self-serve-gas/"">NJ Globe</a>)",
2022-05-11 18:09:56,"<li>Voter registration deadline May 17 for June 7 primary (<a href=""https://pressofatlanticcity.com/news/state-and-regional/voter-registration-deadline-may-17-for-june-7-primary/article_3d99013a-d12e-11ec-a7fb-3f39769ddc9e.html"">Press of Atlantic City</a>)",
,-,
12/05/2022 14:38:39,"<li>These N.J. gas stations to offer price drop Friday to promote self serve (<a href=""https://www.nj.com/news/2022/05/these-nj-gas-stations-to-offer-price-drop-friday-to-promote-self-serve.html"">NJ.com</a>)",
12/05/2022 14:36:26,"<li>NJ unemployment, disability recipients to get new debit cards (<a href=""https://www.app.com/story/news/new-jersey/2022/05/12/nj-unemployment-disability-recipients-get-new-debit-cards/9738301002/"">Asbury Park Press</a>)",
12/05/2022 14:41:28,"<li>Murphy to nominate six new Essex judges (<a href=""https://newjerseyglobe.com/judiciary/murphy-to-nominate-six-new-essex-judges/"">NJ Globe</a>)",
12/05/2022 14:40:27,"<li>Bill would require in-person motor vehicle services for senior citizens, people with disabilities (<a href=""https://newjerseymonitor.com/briefs/bill-would-require-in-person-motor-vehicle-services-for-senior-citizens-people-with-disabilities/"">NJ Monitor</a>)",
,-,
16/05/2022 08:57:15,"<li>N.J. nursing homes lack the staff required by landmark legislation. Is the law being enforced? (<a href=""https://www.nj.com/politics/2022/05/understaffed-and-overwhelmed.html"">NJ.com</a>)",
16/05/2022 08:55:37,"<li>What to expect as damaging winds, tornado, flooding rain threaten Monday (<a href=""https://pressofatlanticcity.com/weather/what-to-expect-as-damaging-winds-tornado-flooding-rain-threaten-monday/collection_f6629890-d4ba-11ec-b2b9-73ce1188d191.html"">Press of Atlantic City</a>)",
16/05/2022 08:54:14,"<li>$27 beer prompts new 'street' pricing at Port Authority airports (<a href=""https://www.northjersey.com/story/news/transportation/2022/05/13/airport-beer-prices-27-dollars-laguardia-jfk-newark-stewart-teterboro/9760361002/"">NorthJersey.com</a>)",
16/05/2022 08:53:45,"<li>N.J. lawmakers seek to curb cannabis use (<a href=""https://newjerseymonitor.com/briefs/n-j-lawmakers-seek-to-curb-cannabis-use/"">NJ Monitor</a>)",
,-,
2022-05-16 15:53:06,"<li>NJ PBS drops first podcast about NJ Superfund sites (<a href=""https://www.njtvonline.org/njtv-pressroom/2022/05/16/nj-pbs-news-division-produces-first-podcast-series-hazard-nj-exploring-how-climate-change-could-impact-garden-state-superfund-sites/"">NJ PBS</a>)",
26/05/2022 12:22:32,"<li>N.J. to beef up police presence at schools after shooting at Texas elementary kills 21 (<a href=""https://www.nj.com/news/2022/05/nj-to-beef-up-police-presence-at-schools-after-shooting-at-texas-elementary-kills-21.html"">NJ.com</a>)",
26/05/2022 12:21:46,"<li>New Jersey governor says Republicans taking ‘blood money’ from gun lobby (<a href=""https://www.politico.com/news/2022/05/25/phil-murphy-texas-shooting-response-00035142"">Politico</a>)",
26/05/2022 12:26:27,"<li>N.J. to bar cops from jailing people who skip court, don't pay fines on minor offenses (<a href=""https://newjerseymonitor.com/2022/05/26/n-j-to-bar-cops-from-jailing-people-who-skip-court-dont-pay-fines-on-minor-offenses/"">NJ Monitor</a>)",
26/05/2022 12:22:40,"<li>N.J. cannabis regulators allowed five more medical dispensaries to start recreational sales (<a href=""https://www.inquirer.com/business/weed/recreational-weed-pot-cannabis-new-jersey-curaleaf-bellmawr-edgewater-park-20220525.html"">The Inquirer</a>)",
,-,
31/05/2022 09:08:47,"<li>A top infectious disease doc in N.J. isn’t worried about Monkeypox. At all. Here’s why (<a href=""https://www.roi-nj.com/2022/05/31/healthcare/a-top-infectious-disease-doc-in-n-j-isnt-worried-about-monkeypox-at-all-heres-why/"">ROI-NJ</a>)",
31/05/2022 09:50:53,"<li>NJ DEP Clean Communities grants distributed to reduce litter (<a href=""https://www.northjersey.com/story/news/2022/05/27/nj-dep-clean-communities-grants-distributed-reduce-litter/9959546002/"">NorthJersey.com</a>)",
31/05/2022 09:49:53,"<li>Free United Way legal clinics offer ‘clean slate’ on criminal records (<a href=""https://whyy.org/articles/free-legal-clinics-offer-a-clean-slate-for-philly-south-jersey-residents-with-criminal-records/"">WHYY</a>)",
31/05/2022 09:48:41,"<li>Investigation Finds No Link Between Brain Tumors and New Jersey School (<a href=""https://www.insider.com/investigation-finds-no-link-between-brain-tumors-new-jersey-school-2022-5"">Business Insider</a>)",
,-,
01/06/2022 10:00:37,"<li>Jersey Shore town plagued by abandoned boats creates harbor master role (<a href=""https://www.nj.com/cape-may-county/2022/05/jersey-shore-town-plagued-by-abandoned-boats-creates-harbor-master-role.html"">NJ.com</a>)",
01/06/2022 09:59:29,"<li>NJ sports betting: Addiction, problems grow with revenue (<a href=""https://www.northjersey.com/story/news/2022/06/01/nj-sports-betting-addiction-problems-revenue/9580880002/"">NorthJersey.com</a>)",
01/06/2022 09:58:48,"<li>Preview of NJ's new 'environmental justice' standards (<a href=""https://www.njspotlightnews.org/2022/06/nj-dep-overburdened-communities-environmental-justice-new-permitting-standards/"">NJ Spotlight</a>)",
01/06/2022 10:03:00,"<li>Lawmaker wants elected officials' home addresses kept under wraps (<a href=""https://newjerseymonitor.com/2022/06/01/lawmaker-wants-elected-officials-home-addresses-kept-under-wraps/"">NJ Monitor</a>)",
,-,
01/06/2022 22:26:37,"<li style=""padding-bottom:.5em"">4 N.J. ministers named in list of Southern Baptists accused of sexual abuse (<a href=""https://www.nj.com/news/2022/06/4-nj-ministers-named-in-list-of-southern-baptists-accused-of-sexual-abuse.html"">NJ.com</a>)",
02/06/2022 09:53:05,"<li style=""padding-bottom:.5em"">Casinos pled poverty to get a huge tax break. Atlantic City is paying the price. (<a href=""https://www.propublica.org/article/atlantic-city-casinos-taxes-gambling-pilot"">ProPublica</a>)",
01/06/2022 20:23:04,"<li style=""padding-bottom:.5em"">'We don't need thoughts and prayers': Morristown High students walk out to protest gun violence (<a href=""https://morristowngreen.com/2022/06/01/we-dont-need-thoughts-and-prayers-morristown-students-walk-out-to-protest-gun-violence/"">Morristown Green</a>)",
02/06/2022 10:04:10,"<li style=""padding-bottom:.5em"">Workers picket outside Atlantic City casino, seeking raises (<a href=""https://pressofatlanticcity.com/news/local/casinos/workers-picket-outside-atlantic-city-casino-seeking-raises/article_91ed86b6-e209-11ec-853b-8ba9bb5877ea.html"">Press of Atlantic City</a>)",
,-,
