Date,OUTPUT
2022-04-04 11:56:26,"<li>Erosion worsens along Delaware Water Gap road near the Delaware River (<a href=""https://www.nj.com/warren/2022/04/erosion-worsens-along-delaware-water-gap-road-near-the-delaware-river.html"">NJ.com</a>)"
,-
2022-04-18 13:17:33,"<li>Atlantic City’s microgrid design cost three times as much as others in NJ (<a href=""https://rtforty.com/atlantic-citys-microgrid-design-cost-three-times-as-much-as-others-in-nj/"">Route 40</a>)"
2022-04-15 15:16:22,"<li>Royal Farms developer asks Evesham to renew approval to build on Route 73 near Target. (<a href=""https://www.70and73.com/news/royal-farms-developer-asks-evesham-to-renew-approval-to-build-on-route-73-near-target/article_abada18c-bce1-11ec-9f54-3b341ef9021f.html"">70and73.com</a>)"
2022-04-18 13:34:17,"<li>Maker of cables for offshore wind may be coming to NJ (<a href=""https://www.njspotlightnews.org/2022/04/manufacturer-offshore-wind-cables-nj-wind-energy-hub-repauno-port-and-rail-terminal/"">NJ Spotlight</a>)"
2022-04-18 13:33:50,"<li>Environmentalists urge NJ Transit to halt Kearny gas plant plan (<a href=""https://newjerseymonitor.com/2022/04/14/environmentalists-urge-nj-transit-to-halt-kearny-gas-plant-plan/"">NJ Monitor</a>)"
2022-04-18 13:33:28,"<li>N.J. weather: Storm will bring heavy rain, wind, coastal flooding (<a href=""https://www.nj.com/weather/2022/04/nj-weather-storm-will-bring-heavy-rain-wind-coastal-flooding.html"">NJ.com</a>)"
2022-04-18 13:36:25,"<li>NJ plastic bag ban: When will it start? Answering questions (<a href=""https://www.northjersey.com/story/news/environment/2022/04/18/nj-plastic-bag-ban-when-start-questions/9516432002/"">NorthJersey.com</a>)"
2022-04-18 13:36:17,"<li>Utilities resist climate policies, not so much in NJ (<a href=""https://www.njspotlightnews.org/2022/04/nj-power-companies-utilities-among-few-nationwide-support-robust-climate-policies-pseg-exelon/"">NJ Spotlight</a>)"
2022-04-18 13:35:45,"<li>Local artist uses beach litter to raise awareness for a cleaner community (<a href=""https://pressofatlanticcity.com/news/local/local-artist-uses-beach-litter-to-raise-awareness-for-a-cleaner-community/article_d587488e-ba8c-11ec-9e54-bfefae26e5f6.html"">Press of Atlantic City</a>)"
,-
2022-04-19 10:32:21,"<li>Radiation testing for Woodbridge ‘cancer cluster’ (<a href=""https://www.njspotlightnews.org/2022/04/nj-woodbridge-colonia-high-school-radiation-tests-cancer-cluster-students-teachers-brain-tumors-health-department-cdc-await-results/"">NJ Spotlight</a>)"
,-
2022-04-20 12:29:52,"<li>See Seals On NJ Beaches? Leave Them Alone, Wildlife Group Says (<a href=""https://patch.com/new-jersey/pointpleasant/see-seals-nj-beaches-leave-them-alone-wildlife-group-says"">Patch</a>)"
2022-04-20 12:29:18,"<li>N.J. weather: Will our warm spring ever return? Here’s what forecasters say about the final days of April. (<a href=""https://www.nj.com/weather/2022/04/nj-weather-will-our-warm-spring-ever-return-heres-what-forecasters-say-about-the-final-days-of-april.html"">NJ.com</a>)"
2022-04-20 12:34:13,"<li>Violation Notice Hits Roxbury Development That Fouled Lake (<a href=""https://www.tapinto.net/towns/roxbury/articles/violation-notice-hits-roxbury-development-that-fouled-lake"">TAPinto</a>)"
2022-04-20 12:34:03,"<li>One big happy Lee Enterprises weather family, Something in the Air podcast (<a href=""https://pressofatlanticcity.com/weather/one-big-happy-lee-enterprises-weather-family-something-in-the-air-podcast/collection_4a3f83c0-c0b0-11ec-8fa0-dfc4c70a7943.html"">Press of Atlantic City</a>)"
2022-04-20 12:33:45,"<li>Top PSEG leader Ralph Izzo announces his retirement (<a href=""https://www.njspotlightnews.org/2022/04/pseg-management-announcement-ralph-izzo-to-retire-ralph-larossa-to-succeed-him/"">NJ Spotlight</a>)"
2022-04-20 12:33:09,"<li>Most residents approve of plastic bag ban, but paper contentious, poll finds (<a href=""https://newjerseymonitor.com/briefs/most-residents-approve-of-plastic-bag-ban-but-paper-contentious-poll-finds/"">NJ Monitor</a>)"
,-
2022-04-21 11:45:03,"<li>Another power plant might still come to Newark, despite residents' pleas to stop (<a href=""https://newjerseymonitor.com/2022/04/21/another-power-plant-might-still-come-to-newark-despite-residents-pleas-to-stop/"">NJ Monitor</a>)"
2022-04-21 11:43:38,"<li>Solid waste council review of Pleasantville waste-transfer station still stalled (<a href=""https://pressofatlanticcity.com/news/local/solid-waste-council-review-of-pleasantville-waste-transfer-station-still-stalled/article_2ed30df8-c0cb-11ec-b221-f7873e272cfe.html"">Press of Atlantic City</a>)"
2022-04-21 11:48:00,"<li>Bird flu outbreak: Experts warn to stop filling backyard bird feeders (<a href=""https://www.nj.com/news/2022/04/bird-flu-outbreak-experts-warn-to-stop-filling-bird-feeders-now.html"">NJ.com</a>)"
2022-04-21 11:47:17,"<li>More rain in the forecast for NJ. A lot more (<a href=""https://www.njspotlightnews.org/2022/04/studies-say-nj-will-get-more-rain-higher-temperatures-dep-unveils-extreme-precipitation-projection-tool/"">NJ Spotlight</a>)"
2022-04-21 11:46:11,"<li>Air pollution still plagues NJ’s communities of color | NJ Spotlight News (<a href=""https://www.njspotlightnews.org/2022/04/air-pollution-ozone-particle-pollution-communities-of-color-american-lung-association/"">NJ Spotlight</a>)"
2022-04-21 11:45:54,"<li>NJ’s greenhouse gas emissions are rising despite climate goals, enviro groups say (<a href=""https://njindy.com/2022/04/11/njs-greenhouse-gas-emissions-are-rising-despite-climate-goals-enviro-groups-say/"">NJ Indy</a>)"
,-
2022-04-25 09:34:27,"<li>Saving Ellis Island's history from rising oceans (<a href=""https://www.njspotlightnews.org/video/saving-ellis-islands-history-from-rising-oceans/"">NJ Spotlight</a>)"
2022-04-25 09:33:03,"<li>N.J. Congressman outlines plan to lower gas prices (<a href=""https://whyy.org/articles/norcross-plan-to-go-after-big-oil-to-lower-gas-prices-and-why-it-might-not-work/"">WHYY</a>)"
2022-04-25 09:32:53,"<li>Cooler than normal temperatures for New Jersey this week (<a href=""https://bronx.news12.com/cool-conditions-with-mix-of-sun-and-clouds-in-new-jersey-rain-returns-tuesday"">News12</a>)"
2022-04-25 09:34:39,"<li>Natural gas compressors allowed in New Jersey, Pennsylvania (<a href=""https://www.northjersey.com/story/news/passaic/west-milford/2022/04/22/natural-gas-compressors-allowed-new-jersey-pennsylvania/7412869001/"">NorthJersey.com</a>)"
,-
2022-04-26 10:33:12,"<li>N.J. weather: Fog, heavy rain, thunderstorms in forecast later today in parts of state (<a href=""https://www.nj.com/weather/2022/04/nj-weather-fog-heavy-rain-thunderstorms-in-forecast-later-today-in-parts-of-state.html"">NJ.com</a>)"
2022-04-26 10:31:40,"<li>Weather: The chill breaks, for one day only, as 70s and storms arrive Tuesday (<a href=""https://pressofatlanticcity.com/weather/weather-the-chill-breaks-for-one-day-only-as-70s-and-storms-arrive-tuesday/article_f2ff0232-c4b7-11ec-83e3-0b4f083af2a1.html"">Press of Atlantic City</a>)"
2022-04-26 10:36:02,"<li>NJ plastic bag ban leaves small businesses stuck with leftovers (<a href=""https://www.northjersey.com/story/money/business/main-street/2022/04/26/nj-plastic-bag-ban-leaves-small-businesses-leftovers/7438536001/"">NorthJersey.com</a>)"
2022-04-26 10:35:02,"<li>NJDEP invests in Atlantic white cedars (<a href=""https://www.njspotlightnews.org/video/njdep-invests-in-atlantic-white-cedars/"">NJ Spotlight</a>)"
2022-04-26 10:34:08,"<li>5 ways N.J.’s plastic bag ban will change your life, for better and worse (<a href=""https://www.nj.com/news/2022/04/5-ways-njs-plastic-bag-ban-will-change-your-life-for-better-and-worse.html"">NJ.com</a>)"
,-
2022-04-27 10:41:43,"<li>Power plant on Passaic River proposal moves forward (<a href=""https://www.northjersey.com/story/news/environment/2022/04/27/passaic-valley-sewerage-power-plant-passaic-river-phil-murphy-environment/9547059002/"">NorthJersey.com</a>)"
2022-04-27 10:40:42,"<li>Converging on AC for offshore wind opportunities (<a href=""https://www.njspotlightnews.org/2022/04/atlantic-city-convention-center-seeking-lucrative-offshore-wind-contracts-biggest-trade-show-small-piece-giant-economic-pie/"">NJ Spotlight</a>)"
2022-04-27 10:42:46,"<li>Wind power, public safety building top issues at Ocean City Council debate (<a href=""https://pressofatlanticcity.com/news/local/wind-power-public-safety-building-top-issues-at-ocean-city-council-debate/article_e4e85f6c-c5a3-11ec-90c9-8b3d6378db92.html"">Press of Atlantic City</a>)"
2022-04-27 10:42:02,"<li>How grocery chains will deal with NJ’s bag ban (<a href=""https://www.njspotlightnews.org/2022/04/nj-bag-ban-grocery-chains-pickup-delivery-rules/"">NJ Spotlight</a>)"
,-
2022-04-27 11:21:55,"<li>Hasbrouck Heights residents turn out for the Fourth Annual Community Clean Up Day (<a href=""https://www.tapinto.net/towns/hasbrouck-heights-slash-wood-ridge-slash-teterboro/sections/green/articles/hasbrouck-heights-residents-turn-out-for-the-fourth-annual-community-clean-up-day"">TAPinto</a>)"
2022-04-28 15:59:05,"<li>Milky liquid flowing through N.J. city’s waterways not harmful, but its source is unknown, mayor says (<a href=""https://www.nj.com/passaic-county/2022/04/milky-liquid-flowing-through-nj-citys-waterways-not-harmful-but-its-source-is-unknown-mayor-says.html"">NJ.com</a>)"
2022-04-28 16:00:35,"<li>Chalk line marks climate-change danger zone in one NJ town (<a href=""https://www.njspotlightnews.org/video/chalk-line-marks-climate-change-danger-zone-in-one-nj-town/"">NJ Spotlight</a>)"
2022-04-29 10:28:21,"<li>Momentum builds to end proposed Newark gas plant (<a href=""https://njindy.com/2022/04/26/momentum-builds-to-end-proposed-newark-gas-plant/"">NJ Indy</a>)"
,-
2022-05-02 10:30:35,"<li>Go here: Great Swamp National Wildlife Refuge (<a href=""https://njindy.com/2022/04/26/go-here-great-swamp-national-wildlife-refuge/"">NJ Indy</a>)"
2022-05-02 10:29:32,"<li>Atlantic hurricane season starts June 1, here are the storm names for 2022 (<a href=""https://pressofatlanticcity.com/weather/atlantic-hurricane-season-starts-june-1-here-are-the-storm-names-for-2022/collection_7abe21e6-b4e9-11ec-85fc-73f62e33819d.html"">Press of Atlantic City</a>)"
2022-05-02 10:29:06,"<li>Styrofoam plates, cups won’t be sold in N.J. stores when bag ban starts (<a href=""https://www.nj.com/business/2022/04/styrofoam-plates-cups-wont-be-sold-in-nj-stores-anymore-what-else-will-ban-include.html"">NJ.com</a>)"
2022-05-02 10:33:07,"<li>N.J. weather: Multiple rounds of showers, thunderstorms in forecast this week (<a href=""https://www.nj.com/weather/2022/05/nj-weather-multiple-rounds-of-showers-thunderstorms-in-forecast-this-week.html"">NJ.com</a>)"
2022-05-02 10:32:59,"<li>N.J. plastic bag ban poses greater challenges for low-income, disabled, advocates say (<a href=""https://www.nj.com/news/2022/05/plastic-bag-ban-poses-greater-challenges-for-low-income-disabled-advocates-say.html"">NJ.com</a>)"
,-
2022-05-03 15:32:49,"<li>Gov. Phil Murphy announces latest NJ flooding measures (<a href=""https://www.app.com/story/weather/flooding/2022/05/03/phil-murphy-nj-flooding-measures-announced-blue-acres/9628348002/"">Asbury Park Press</a>)"
2022-05-03 15:32:21,"<li>Cape towns canceling, amending trash contracts as vendor seeks more money (<a href=""https://pressofatlanticcity.com/news/local/cape-towns-canceling-amending-trash-contracts-as-vendor-seeks-more-money/article_f7e1a248-ca28-11ec-b42b-37f9d73b2d2a.html"">Press of Atlantic City</a>)"
2022-05-03 15:38:15,"<li>Temps in the 60s for most of the week across New Jersey; rain expected Wednesday (<a href=""https://newjersey.news12.com/temps-in-the-60s-for-most-of-the-week-across-new-jersey-rain-expected-wednesday"">News12</a>)"
,-
2022-05-04 09:57:23,"<li>N.J. weather: The summer forecast is out. Here’s what it means for the Garden State. (<a href=""https://www.nj.com/weather/2022/05/nj-weather-the-summer-forecast-is-out-heres-what-it-means-for-the-garden-state.html"">NJ.com</a>)"
2022-05-04 09:59:05,"<li>Plastic bag ban rule-breakers can face daily fines. Here’s how to report them. (<a href=""https://www.nj.com/business/2022/05/plastic-bag-ban-rule-breakers-can-face-daily-fines-heres-how-to-report-them.html"">NJ.com</a>)"
2022-05-04 10:03:33,"<li>Weather: 70s for mostly dry Wednesday, days of tidal flooding possible next week (<a href=""https://pressofatlanticcity.com/weather/weather-70s-for-mostly-dry-wednesday-days-of-tidal-flooding-possible-next-week/article_f27fded2-cafa-11ec-9500-d7c0239a0483.html"">Press of Atlantic City</a>)"
,-
2022-05-04 21:29:59,"<li>Evesham closes on the purchase of the 176-acre Beagle Club to preserve as open space (<a href=""https://www.70and73.com/news/evesham-closes-on-the-purchase-of-the-176-acre-beagle-club-to-preserve-as-open/article_8b4c4d96-cc0c-11ec-b037-dfa4fcac9baf.html"">70and73.com</a>)"
2022-05-05 17:37:06,"<li>Ørsted, unions announce deal to build offshore wind farms (<a href=""https://pressofatlanticcity.com/business/local/rsted-unions-announce-deal-to-build-offshore-wind-farms/article_13239f84-cca9-11ec-beec-b78288e44e14.html"">Press of Atlantic City</a>)"
2022-05-05 17:34:15,"<li>N.J. weather: Heavy rain could dampen part of Mother’s Day weekend (<a href=""https://www.msn.com/en-us/weather/topstories/n-j-weather-heavy-rain-could-dampen-part-of-mother-s-day-weekend/ar-AAWW7vG"">MSN</a>)"
,-
2022-05-09 11:53:13,"<li>Weather: Coastal flooding, breezy winds continue as storm stays nearby (<a href=""https://pressofatlanticcity.com/weather/weather-coastal-flooding-breezy-winds-continue-as-storm-stays-nearby/article_d808ddb4-cee3-11ec-801c-a379574cd16d.html"">Press of Atlantic City</a>)"
2022-05-09 11:52:26,"<li>Orsted wind developer commits to all union labor (<a href=""https://whyy.org/articles/orsted-offshore-wind-developer-all-union-labor-new-jersey/"">WHYY</a>)"
2022-05-09 11:51:36,"<li>There's a 1,000-pound great white shark swimming near the Jersey shore (<a href=""https://www.cnn.com/2022/05/08/us/great-white-shark-jersey-shore-scn-trnd/index.html"">CNN</a>)"
,-
2022-05-09 21:30:24,"<li>Cherry Hill proposes to get tough on tree removal with new law; also adds Tree Fund for reforestation. (<a href=""https://www.70and73.com/news/cherry-hill-proposes-to-get-tough-on-tree-removal-with-new-law-also-adds-tree/article_db0bec7a-c0ad-11ec-8986-733113cbf45a.html"">70and73.com</a>)"
2022-05-10 10:17:24,"<li>Weather: One more breezy, coastal flooding day with 70s in sight (<a href=""https://pressofatlanticcity.com/weather/weather-one-more-breezy-coastal-flooding-day-with-70s-in-sight/article_63695d52-cfca-11ec-8a17-ef1434249b7b.html"">Press of Atlantic City</a>)"
2022-05-10 10:19:49,"<li>Urban parks help fight climate change (<a href=""https://www.njspotlightnews.org/2022/05/trust-for-public-land-urban-parks-newark-jersey-city-in-to-50-more-investment-needed-climate-change/"">NJ Spotlight</a>)"
,-
2022-05-11 18:08:59,"<li>Cloudy start gives way to afternoon sunshine Thursday; rain returns for the weekend (<a href=""https://newjersey.news12.com/bright-and-sunny-today-spotty-showers-return-this-weekend"">News12</a>)"
2022-05-10 13:10:43,"<li>Moorestown Township Council agrees to acquire Garwood Road farmland for preserved open space. (<a href=""https://www.70and73.com/news/moorestown-township-council-agrees-to-acquire-garwood-road-farmland-for-preserved-open-space/article_f34f4afc-d070-11ec-a676-27bdfddef2c4.html?fbclid=IwAR3r3oNth8ZNr1Y7P3b1tcvl9Wee3GMGbjRLh9obqAg2gDaXQb8nDoSy-t0"">70and73.com</a>)"
,-
2022-05-12 14:39:03,"<li>We need better rainfall predictions after Ida, N.J. lawmaker says. Her bill just cleared House. (<a href=""https://www.nj.com/politics/2022/05/we-need-better-rainfall-predictions-after-ida-nj-lawmaker-says-her-bill-just-cleared-house.html"">NJ.com</a>)"
2022-05-12 14:37:52,"<li>PSE&G chief moves to charging-station startup (<a href=""https://www.njspotlightnews.org/2022/05/ev-electric-vehicles-stationary-charging-mobile-charging-supercharging-hub-david-daly/"">NJ Spotlight</a>)"
2022-05-12 14:37:34,"<li>Green Acres restrictions at Bader Field could hamper 'car-centric' development (<a href=""https://pressofatlanticcity.com/news/local/green-acres-restrictions-at-bader-field-could-hamper-car-centric-development/article_ceb8d10c-d12b-11ec-ae2d-e3f5d019cd15.html"">Press of Atlantic City</a>)"
2022-05-12 14:37:18,"<li>Buena Borough Hall set to reopen after flooding (<a href=""https://pressofatlanticcity.com/news/local/buena-borough-hall-set-to-reopen-after-flooding/article_60c90ebe-d16c-11ec-8d35-27f7a3470123.html"">Press of Atlantic City</a>)"
2022-05-12 14:35:31,"<li>N.J. weather: It’s not just you, May has been way too cold. Here’s why. (<a href=""https://www.nj.com/weather/2022/05/nj-weather-its-not-just-you-may-has-been-way-too-cold-heres-why.html"">NJ.com</a>)"
,-
2022-05-16 08:54:53,"<li>Sandy's lessons explained by National Weather Service's former top meteorologist (<a href=""https://pressofatlanticcity.com/weather/sandys-lessons-explained-by-national-weather-services-former-top-meteorologist/article_ae4c1d7e-d25d-11ec-884c-bb552043bfbd.html"">Press of Atlantic City</a>)"
2022-05-16 08:54:43,"<li>N.J. weather: Severe thunderstorms, 60 mph winds, hail in forecast. Latest on timing. (<a href=""https://www.nj.com/weather/2022/05/nj-weather-severe-thunderstorms-60-mph-winds-hail-in-forecast-latest-on-timing.html"">NJ.com</a>)"
2022-05-16 08:52:13,"<li>Hoboken cleanup spells the end of abandoned boats (<a href=""https://www.njspotlightnews.org/video/hoboken-cleanup-spells-the-end-of-abandoned-boats/"">NJ Spotlight</a>)"
,-
2022-05-26 12:25:43,"<li>Late spring storm keeping some Jersey shore beaches closed (<a href=""https://pressofatlanticcity.com/news/local/late-spring-storm-keeping-some-jersey-shore-beaches-closed/article_01e63ae0-dc46-11ec-bb6e-77b609b2f5f7.html"">Press of Atlantic City</a>)"
2022-05-26 12:24:48,"<li>NJ environmental officials vow to keep lakes healthy (<a href=""https://www.northjersey.com/story/news/local/2022/05/26/nj-environmental-officials-dep-protect-lakes-summer/9905683002/"">NorthJersey.com</a>)"
2022-05-26 12:24:30,"<li>Weather: A gloomy Thursday, strong storms Friday and an unsettled Memorial Day weekend (<a href=""https://pressofatlanticcity.com/weather/weather-a-gloomy-thursday-strong-storms-friday-and-an-unsettled-memorial-day-weekend/article_d128972a-dc6f-11ec-bb38-6334c395f467.html"">Press of Atlantic City</a>)"
2022-05-26 12:23:31,"<li>N.J. weather: Thunderstorms with flash flooding, damaging winds in Friday forecast (<a href=""https://www.nj.com/weather/2022/05/nj-weather-thunderstorms-with-flash-flooding-damaging-winds-in-friday-forecast.html"">NJ.com</a>)"
2022-05-26 12:28:00,"<li>Summer hurricanes, wildfires and storms loom as FEMA faces pressure to step up (<a href=""https://newjerseymonitor.com/2022/05/24/summer-hurricanes-wildfires-and-storms-loom-as-fema-faces-pressure-to-step-up/"">NJ Monitor</a>)"
,-
2022-05-27 16:18:25,"<li>How This Company Is Making Sustainable Transportation More Accessible in Newark (<a href=""https://www.tapinto.net/towns/newark/sections/green/articles/how-this-company-is-making-sustainable-transportation-more-accessible-in-newark"">TAPinto Newark</a>)"
2022-05-26 13:50:01,"<li>Hugged a tree today? Many in South Jersey, including century-old ones, are falling to development, PSE&G. (<a href=""https://www.70and73.com/news/hugged-a-tree-today-many-in-south-jersey-including-century-old-ones-are-falling-to/article_aea6896a-d06b-11ec-a67e-dbac4d1a0b53.html?fbclid=IwAR0qEWohyK1B9TqloDE1IaPXMZgbdh1noDAbCp7JPn_dDIa2rakcgTbIxt4"">70and73.com</a>)"
2022-05-31 09:48:05,"<li>From clean soil, lawmakers and nonprofit aim to grow healthy communities (<a href=""https://newjerseymonitor.com/2022/05/31/from-clean-soil-lawmakers-and-nonprofit-aim-to-grow-healthy-communities/"">NJ Monitor</a>)"
2022-05-31 09:53:43,"<li>Atlantic hurricane season 2022 is starting. These are the 21 storm names on the list. And names you won’t see again. (<a href=""https://www.nj.com/weather/2022/05/atlantic-hurricane-season-2022-is-starting-these-are-the-21-storm-names-on-the-list-and-names-you-wont-see-again.html"">NJ.com</a>)"
2022-05-31 09:53:20,"<li>Electric school bus bill sparks debate during N.J. Assembly session (<a href=""https://newjerseymonitor.com/briefs/electric-school-bus-bill-sparks-debate-during-n-j-assembly-session/"">NJ Monitor</a>)"
2022-05-31 09:53:10,"<li>N.J. weather: Heat cranks up today with temperatures in 90s (<a href=""https://www.nj.com/weather/2022/05/nj-weather-heat-cranks-up-today-with-temperatures-in-90s.html"">NJ.com</a>)"
,-
2022-05-31 10:10:16,"<li>In Newark’s Ironbound, “You can taste the air. It’s disgusting!” Just say no to another fossil plant (<a href=""https://www.nj.com/opinion/2022/05/in-newarks-ironbound-you-can-taste-the-air-its-disgusting-just-say-no-to-another-fossil-plant-moran.html"">NJ.com</a>)"
2022-06-01 09:56:14,"<li>N.J. weather: Record high is set as summer-like temps soar into the 90s across state (<a href=""https://www.nj.com/weather/2022/05/nj-weather-record-high-is-set-as-summer-like-temps-soar-into-the-90s-across-state.html"">NJ.com</a>)"
2022-05-31 23:13:04,"<li>Environmental Leaders Vow to Reconnect Newark Community to Passaic River Over Next Decade (<a href=""https://www.tapinto.net/towns/newark/sections/green/articles/environmental-leaders-vow-to-reconnect-newark-community-to-passaic-river-over-next-decade"">TAPinto Newark</a>)"
